tool,db_name,db_entity,db_params,db_path
humann_v3,demo_v3,humann_nucleotide,,https://github.com/nf-core/test-datasets/raw/refs/heads/funcprofiler/data/database/humann/v3/chocophlan_nfDEMO.tar.gz
humann_v3,demo_v3,humann_protein,,https://github.com/nf-core/test-datasets/raw/refs/heads/funcprofiler/data/database/humann/v3/uniref_nfDEMO.tar.gz
humann_v3,demo_v3,humann_utility,,https://github.com/nf-core/test-datasets/raw/refs/heads/funcprofiler/data/database/humann/v4/utility.tar.gz
humann_v3,demo_v3,humann_metaphlan,,https://raw.githubusercontent.com/nf-core/test-datasets/modules/data/delete_me/metaphlan4_database.tar.gz
fmhfunprofiler,fmhfunprofiler1000,,11 1000,https://github.com/nf-core/test-datasets/raw/refs/heads/funcprofiler/data/database/fmhfunprofiler/KOs_sketched_scaled_1000_demo.sig.zip
rgi,4.0.1,,,https://github.com/nfcore/test-datasets/raw/refs/heads/funcprofiler/data/database/rgi/broadstreet-v4.0.1.tar.gz
humann_v4,demo_v4,humann_nucleotide,,https://github.com/nf-core/test-datasets/raw/refs/heads/funcprofiler/data/database/humann/v4/chocophlan_nfDEMO.tar.gz
humann_v4,demo_v4,humann_protein,,https://github.com/nf-core/test-datasets/raw/refs/heads/funcprofiler/data/database/humann/v4/uniref_nfDEMO.tar.gz
humann_v4,demo_v4,humann_metaphlan,,/data1/collab004/users/watersn/dbs/
humann_v4,demo_v4,humann_utility,,https://github.com/nfcore/test-datasets/raw/refs/heads/funcprofiler/data/database/humann/v4/utility.tar.gz
