gene_id,L10-WT1,L10-WT3,L10-WT2,L10-WT4,p6-WT2,p6-WT4,p6-WT1,L1-WT4,L1-WT1,L1-WT2
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,13,17,20,12,29,86,29,29,65,61
ENSMUSG00000102851,0,1,0,0,0,1,0,0,0,0
ENSMUSG00000103377,0,2,1,3,0,15,5,7,13,7
ENSMUSG00000104017,0,1,1,1,2,16,5,1,9,8
ENSMUSG00000103025,0,0,0,0,2,5,0,4,2,1
ENSMUSG00000089699,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000103201,1,2,0,2,0,12,6,6,5,4
ENSMUSG00000103147,1,1,0,2,2,3,5,5,3,2
ENSMUSG00000103161,2,2,3,1,1,15,10,11,9,14
ENSMUSG00000102331,0,7,2,2,6,20,11,10,18,10
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,4,1,1,0,0,0
ENSMUSG00000025900,0,0,2,0,25,11,11,0,1,1
ENSMUSG00000104123,0,0,0,0,1,1,0,0,0,0
ENSMUSG00000025902,35,71,37,28,53,69,77,118,123,119
ENSMUSG00000104238,0,2,0,2,2,3,5,3,5,5
ENSMUSG00000102269,0,1,2,0,5,6,5,4,4,5
ENSMUSG00000096126,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,1,0,0,1,0,0,1,3,0
ENSMUSG00000102735,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000098104,3,3,2,2,15,12,9,12,8,6
ENSMUSG00000102175,0,1,0,3,7,5,7,6,6,4
ENSMUSG00000088000,0,0,0,0,1,1,0,3,1,1
ENSMUSG00000103265,0,3,0,0,1,6,4,4,4,1
ENSMUSG00000103922,2,5,2,5,8,11,6,16,15,4
ENSMUSG00000033845,137,174,101,91,248,283,148,419,545,438
ENSMUSG00000102275,1,3,3,0,0,7,5,12,5,6
ENSMUSG00000025903,333,372,241,231,294,296,143,654,784,650
ENSMUSG00000104217,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000033813,166,215,163,177,284,337,134,566,652,543
ENSMUSG00000062588,1,3,0,2,10,7,2,10,4,2
ENSMUSG00000103280,0,7,1,0,8,11,12,22,12,13
ENSMUSG00000002459,3,5,5,3,27,52,56,81,26,22
ENSMUSG00000091305,0,0,0,0,0,6,4,6,7,2
ENSMUSG00000102653,0,0,0,1,8,31,28,25,19,12
ENSMUSG00000085623,3,6,0,2,29,108,99,53,38,13
ENSMUSG00000091665,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000033793,430,572,372,265,437,500,264,1243,1914,1416
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,690,1117,635,523,1046,1169,981,2178,1995,1556
ENSMUSG00000090031,13,37,24,13,71,93,71,144,127,81
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,0,0,0,0,2,1,1,0,0,0
ENSMUSG00000033740,2,0,0,0,0,7,2,2,1,3
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,0,1,1,1,2,2,0,2,2,2
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000051285,1028,1663,1183,936,730,786,532,1711,1940,1594
ENSMUSG00000098201,1,2,4,3,10,9,6,14,8,14
ENSMUSG00000103509,30,134,57,40,105,192,161,241,286,252
ENSMUSG00000048538,0,0,1,1,0,0,0,1,1,2
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,0,11,6,3,23,42,23,38,45,26
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,1,1,0,0,9,13,4,9,9,5
ENSMUSG00000102647,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000086235,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102253,1,2,0,0,1,1,0,0,0,1
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000084353,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103933,1,0,1,0,1,3,2,2,0,0
ENSMUSG00000076135,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102316,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000103819,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000102871,1,0,0,0,1,3,0,0,0,1
ENSMUSG00000101571,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000104428,0,1,0,0,0,0,0,0,1,0
ENSMUSG00000102272,0,1,0,0,0,0,0,0,1,1
ENSMUSG00000065625,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000103411,0,5,2,1,6,6,9,8,7,6
ENSMUSG00000061024,94,203,103,106,202,189,90,309,376,439
ENSMUSG00000025911,271,380,185,212,354,182,145,327,565,392
ENSMUSG00000079671,19,62,31,21,21,51,24,62,77,53
ENSMUSG00000081441,0,2,0,0,7,1,3,2,2,3
ENSMUSG00000067879,0,25,4,4,8,15,3,17,26,9
ENSMUSG00000099827,0,0,0,0,1,1,0,0,0,0
ENSMUSG00000025912,6,8,6,8,64,107,33,62,72,65
ENSMUSG00000045210,270,494,310,239,646,657,434,1153,1266,1057
ENSMUSG00000097893,1,1,0,0,2,1,1,3,1,1
ENSMUSG00000025915,60,124,57,50,228,301,186,383,310,268
ENSMUSG00000046334,0,0,1,0,4,8,4,1,3,2
ENSMUSG00000088916,0,0,0,0,2,2,2,5,2,0
ENSMUSG00000046101,2,10,2,1,22,33,20,30,35,25
ENSMUSG00000098234,61,124,55,44,110,134,70,228,255,181
ENSMUSG00000093178,0,1,0,0,5,1,3,2,3,1
ENSMUSG00000099032,1,1,1,3,10,20,6,15,7,15
ENSMUSG00000104025,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025916,0,0,1,1,0,1,1,1,1,0
ENSMUSG00000087199,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095780,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025917,150,227,133,112,285,327,186,588,651,539
ENSMUSG00000056763,138,386,216,148,535,684,494,870,862,709
ENSMUSG00000102356,0,5,0,1,4,5,1,8,11,6
ENSMUSG00000067851,923,1554,1053,894,1441,1664,998,2937,3416,2932
ENSMUSG00000088153,1,10,4,0,4,4,4,10,15,7
ENSMUSG00000102556,1,20,6,5,15,38,27,39,30,21
ENSMUSG00000042501,2,5,3,2,55,23,11,6,15,17
ENSMUSG00000103810,0,1,0,0,9,3,2,2,3,2
ENSMUSG00000083422,0,0,0,0,7,4,0,1,2,1
ENSMUSG00000094979,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000103448,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100648,1,0,0,0,1,1,0,1,0,0
ENSMUSG00000088585,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048960,648,1053,600,459,673,636,648,1076,1138,979
ENSMUSG00000077318,0,1,1,0,1,0,1,2,1,0
ENSMUSG00000101827,1,4,0,0,2,3,3,4,5,1
ENSMUSG00000103494,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000057715,3,1,1,0,31,33,18,9,10,6
ENSMUSG00000103825,0,0,0,0,3,6,3,3,0,1
ENSMUSG00000099845,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000101610,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000093864,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000098163,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000016918,56,86,35,48,226,236,91,303,207,205
ENSMUSG00000025938,1,4,0,0,51,68,47,11,10,8
ENSMUSG00000104518,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,1,0,0,0,0
